longitude,latitude
8.195199255432946472e+01,1.404648590799666508e+01
8.196627076906518994e+01,1.399454211426213313e+01
8.194664619591945609e+01,1.399797361532897710e+01
8.196694787703449947e+01,1.398399266601064461e+01
8.195891289191753515e+01,1.401107853862762020e+01
8.195620382961108419e+01,1.403786667905207430e+01
8.196074282555395030e+01,1.398898263424852217e+01
8.195170997085693898e+01,1.398408600341399755e+01
8.201937878542922533e+01,1.399631314093531387e+01
8.194621310921633039e+01,1.402433864074624736e+01
8.195994117612170271e+01,1.401487636176047502e+01
8.199897913425775187e+01,1.399975992218130294e+01
8.200983136019712560e+01,1.399332077052998891e+01
8.196146506568213397e+01,1.398640024753437494e+01
8.194664080058961986e+01,1.404432880376093529e+01
8.196466737424809423e+01,1.400036223714589845e+01
8.200046633663355067e+01,1.399195277796619230e+01
8.194551196811265470e+01,1.404772658180667300e+01
8.198423257153984878e+01,1.402557394309701522e+01
8.197596206335987290e+01,1.400101700138141680e+01
8.197814086834310388e+01,1.396813517179498376e+01
8.194770206221724607e+01,1.401921876663488575e+01
8.195300148787754324e+01,1.402585290865534517e+01
8.195791322866047324e+01,1.399794112738618956e+01
8.194501479355852780e+01,1.404874350930925786e+01
8.196363773466597991e+01,1.399993621142555789e+01
8.197490156866747668e+01,1.401401662315554120e+01
8.195226783118482672e+01,1.401391652383171760e+01
8.195814775625028403e+01,1.400602727728657371e+01
8.198530870211905608e+01,1.397999300813737911e+01
8.197679473889536439e+01,1.399186025831713920e+01
8.197077143039221880e+01,1.399778650674379499e+01
8.195667178593527069e+01,1.398816949632697515e+01
8.197270254860036687e+01,1.402833781693197857e+01
8.195529810584582719e+01,1.402567866521018480e+01
8.198379193503041051e+01,1.402385606832746490e+01
8.197958127725543420e+01,1.401648557722816157e+01
8.200644249341108605e+01,1.403294907713444140e+01
8.196173261479083294e+01,1.398407061559132813e+01
8.195974657332487823e+01,1.398834121292653165e+01
8.196758418673080371e+01,1.399086497869142498e+01
8.194490241432482946e+01,1.402594054394077006e+01
8.199590205021644351e+01,1.400665613814576282e+01
8.195833041139609065e+01,1.396215159939182726e+01
8.198323135462408118e+01,1.400197990164336836e+01
8.195796811861377762e+01,1.403819444978585551e+01
8.198137024933143380e+01,1.403483908203403629e+01
8.195607348711945406e+01,1.401157297249909917e+01
8.195763861388692817e+01,1.399537958820746120e+01
8.196615336980234190e+01,1.399085049797330704e+01
8.195198079419532178e+01,1.399743411888722022e+01
8.195618819548226952e+01,1.400076053166452184e+01
8.195339931604861761e+01,1.398183265356034077e+01
8.196023298742423435e+01,1.400650497344723355e+01
8.196613850052915495e+01,1.399153055441134441e+01
8.196363826128177266e+01,1.398982303885938983e+01
8.198820347394105568e+01,1.402743978904301514e+01
8.195525765542937791e+01,1.407550495620581898e+01
8.196194887060750034e+01,1.396364255659522335e+01
8.194580756235257013e+01,1.403361399134689158e+01
8.195329876684427006e+01,1.401388621650662003e+01
8.195106724681538424e+01,1.402614718836593255e+01
8.195152758129140125e+01,1.404097443099481168e+01
8.196653803255654225e+01,1.401220949468182297e+01
8.199513584270904687e+01,1.397629533543886460e+01
8.195578277644695220e+01,1.399071493927175602e+01
8.196984582878073411e+01,1.398630993996669147e+01
8.196333578406049014e+01,1.400878382635416308e+01
8.196194075927448353e+01,1.403686060634079880e+01
8.193964372435108601e+01,1.404196361453707276e+01
8.195514160286204230e+01,1.400606591095245790e+01
8.196296915991754872e+01,1.399406470910837719e+01
8.199202470976665325e+01,1.399761668411956350e+01
8.198911686169846291e+01,1.397813371966085327e+01
8.201219286231915362e+01,1.399894694773955450e+01
8.198188688614338560e+01,1.399899110264384916e+01
8.197968472640704363e+01,1.400428288066947147e+01
8.196246172377152561e+01,1.398676010323417351e+01
8.197810680795790006e+01,1.398794553338289681e+01
8.196104484106803056e+01,1.400579995734033822e+01
8.196543235522942439e+01,1.399670375943016865e+01
8.195487352333032050e+01,1.401904564300170364e+01
8.197042448685085958e+01,1.399445471453438294e+01
8.191525462975234007e+01,1.401447670773915810e+01
8.197493664239324573e+01,1.400149124712805992e+01
8.195187976541039632e+01,1.405835166277556247e+01
8.197024223227867878e+01,1.397163478969580552e+01
8.197585981741761429e+01,1.398632210211789761e+01
8.198074229928371892e+01,1.394679363817919793e+01
8.197668255268038706e+01,1.400436376904888114e+01
8.195749995080645078e+01,1.399349210437702951e+01
8.198097130426071999e+01,1.398282070889273321e+01
8.194742790486330364e+01,1.405254737987844571e+01
8.193788556422676095e+01,1.396896646073810011e+01
8.200678472330113777e+01,1.400782873210210333e+01
8.195860376503155464e+01,1.403066582866704337e+01
8.196046977448855841e+01,1.396428362203531925e+01
8.194447295787698238e+01,1.401290083565389111e+01
8.196020053887455958e+01,1.399685818522821457e+01
8.194408223887539577e+01,1.402518163939951990e+01
8.196363876533325765e+01,1.399612190313349380e+01
8.195913689728125462e+01,1.401449732777244073e+01
8.198423482896518522e+01,1.401239531979511099e+01
8.197835898893573869e+01,1.399340104690339537e+01
8.195958676164693202e+01,1.406042265144597891e+01
8.197185433215970818e+01,1.400605305133358236e+01
8.195602961493202088e+01,1.401587728102698627e+01
8.196468485584907171e+01,1.402083671413606858e+01
8.202722010797151597e+01,1.400275122735932420e+01
8.194584212180738803e+01,1.401797496170969737e+01
8.195394107148909768e+01,1.404632235687308572e+01
8.196606468815575397e+01,1.402224741991085288e+01
8.193693471411091878e+01,1.401942712036527361e+01
8.198454043352063536e+01,1.398855021086262873e+01
8.194901725903565648e+01,1.401867319873738005e+01
8.197427207446669684e+01,1.400131425371084326e+01
8.196100400254267981e+01,1.402251783642551963e+01
8.196596504197792399e+01,1.399432438178306271e+01
8.198315291385921455e+01,1.400492840290529450e+01
8.196519581595138959e+01,1.399793296235770335e+01
8.196984168093401024e+01,1.400894361561153190e+01
8.197005894833100115e+01,1.400725505695808337e+01
8.195629480732139882e+01,1.398262174642272093e+01
